year,S_USDJPY,S_USDTRY,PPP_JPY,PPP_TRY,d_USDJPY,d_USDTRY,m_USD,m_JPY,m_TRY,S_TRYJPY,PPP_TRYJPY,d_TRYJPY
2005,110.22,1.34,133.6,0.673,-0.192371892647456,0.6886795633002293,0.1654358902175911,0.35780778286504705,-0.5232436730826382,82.25373134328358,198.51411589895986,-0.8810514559476853
2006,116.3,1.43,128.48,0.712,-0.0996001906738328,0.6973518118419771,0.19925054038938148,0.29885073106321425,-0.4981012714525957,81.32867132867133,180.4494382022472,-0.7969520025158099
2007,117.75,1.3,124.21,0.736,-0.05340994865957524,0.568889424720752,0.17182649202039224,0.22523644067996748,-0.3970629327003597,90.57692307692308,168.76358695652172,-0.6222993733803269
2008,103.36,1.3,120.75,0.809,-0.1555042524983904,0.4743206263911364,0.10627212463091534,0.26177637712930574,-0.3680485017602211,79.50769230769231,149.2583436341162,-0.6298248788895268
2009,93.57,1.55,119.33,0.849,-0.24318294509374286,0.601951023601945,0.11958935950273404,0.36277230459647686,-0.48236166409921094,60.36774193548386,140.55359246171966,-0.8451339686956878
2010,87.78,1.5,115.68,0.897,-0.27599407415036664,0.5141645250315052,0.07939015029371287,0.3553842244440795,-0.43477437473779235,58.52,128.96321070234114,-0.7901585991818719
2011,79.81,1.67,111.5,0.952,-0.33437578101225596,0.5620138706194354,0.07587936320239315,0.4102551442146491,-0.4861345074170423,47.79041916167665,117.1218487394958,-0.8963896516316914
2012,79.79,1.8,108.64,1.002,-0.3086414804901963,0.5857886622394459,0.09238239391641655,0.4010238744066128,-0.49340626832302936,44.32777777777778,108.42315369261478,-0.8944301427296424
2013,97.6,1.9,106.44,1.047,-0.08670395269044165,0.595924954283995,0.16974033386451778,0.25644428655495943,-0.4261846204194772,51.368421052631575,101.66189111747852,-0.6826289069744367
2014,105.86,2.19,106.38,1.107,-0.004900122884330021,0.6822478901019096,0.2257825890725265,0.23068271195685652,-0.45646530102938304,48.337899543378995,96.09756097560975,-0.6871480129862397
2015,121.04,2.72,107.63,1.183,0.11742165020389378,0.8325782953116563,0.3166666485051834,0.19924499830128958,-0.515911646806473,44.5,90.98055790363482,-0.7151566451077626
2016,108.79,3.02,107.06,1.268,0.016029993467756104,0.867815975371744,0.29461532294650006,0.2785853294787439,-0.573200652425244,36.02317880794702,84.43217665615143,-0.851785981903988
2017,112.17,3.65,105.1,1.384,0.06510329977422662,0.9697493103989223,0.34495087005771635,0.27984757028348967,-0.624798440341206,30.73150684931507,75.9393063583815,-0.9046460106246956
2018,110.42,4.84,104.16,1.633,0.05836309839563944,1.0864959067402122,0.3816196683786172,0.32325656998297775,-0.704876238361595,22.81404958677686,63.78444580526638,-1.0281328083445729
2019,109.01,5.68,103.23,1.837,0.05448011266276841,1.1288174265000714,0.3944325130542799,0.33995240039151153,-0.7343849134457915,19.191901408450708,56.19488296135003,-1.0743373138373027
2020,106.77,7.01,100.74,2.111,0.05813404787270666,1.200175932180315,0.4194366600176738,0.3613026121449672,-0.780739272162641,15.231098430813123,47.72145902415916,-1.1420418843076083
2021,109.75,8.89,98.69,2.726,0.10622142777136492,1.1820917162514724,0.4294377146742791,0.3232162869029142,-0.7526540015771932,12.34533183352081,36.203228173147465,-1.0758702884801072
2022,131.46,16.57,92.5,4.975,0.35149397831705065,1.2031684608279154,0.518220813048322,0.16672683473127137,-0.6849476477795934,7.933614966807483,18.592964824120603,-0.8516744825108647
2023,140.48,23.77,92.84,8.074,0.41418754848057016,1.0797752589413534,0.4979876024739745,0.08380005399340436,-0.5817876564673788,5.90997055111485,11.498637602179837,-0.6655877104607832
2024,151.45,32.88,93.2,12.55,0.48550781578170066,0.9631439046101862,0.48288390679729565,-0.002623908984405047,-0.4802599978128906,4.606143552311435,7.426294820717131,-0.4776360888284855
